tile_id,plasmid_length,insert_length,lvl1_group,position,gg_ready,domestication_mutations,cds_features,gene_features,total_features,file
87,12134,9884,5,12,True,0,7,6,21,tile_087.gb
88,8612,6362,5,13,True,0,5,4,17,tile_088.gb
89,8250,6000,5,14,False,0,8,8,25,tile_089.gb
90,10953,8703,6,0,True,0,6,5,19,tile_090.gb
91,7762,5512,6,1,True,0,6,5,19,tile_091.gb
92,8413,6163,6,2,True,0,7,6,21,tile_092.gb
93,9250,7000,6,3,True,0,7,6,21,tile_093.gb
94,8863,6613,6,4,True,0,7,6,21,tile_094.gb
95,8495,6245,6,5,False,0,8,7,24,tile_095.gb
96,8647,6397,6,6,True,0,7,6,21,tile_096.gb
97,8560,6310,6,7,False,0,8,8,25,tile_097.gb
98,9250,7000,6,8,True,0,8,7,23,tile_098.gb
99,8472,6222,6,9,True,0,7,6,21,tile_099.gb
100,8413,6163,6,10,True,0,7,6,21,tile_100.gb
101,8334,6084,6,11,False,0,7,7,23,tile_101.gb
102,9458,7208,6,12,True,0,7,6,21,tile_102.gb
103,10046,7796,6,13,True,0,6,12,26,tile_103.gb
104,9615,7365,6,14,True,0,6,6,20,tile_104.gb
105,8250,6000,7,0,True,0,9,9,26,tile_105.gb
106,11113,8863,7,1,True,0,7,8,23,tile_106.gb
107,6387,4137,7,2,True,0,4,3,15,tile_107.gb
108,8369,6119,7,3,False,0,4,4,17,tile_108.gb
109,9571,7321,7,4,False,1,7,8,24,tile_109.gb
110,9401,7151,7,5,True,0,9,8,25,tile_110.gb
111,10216,7966,7,6,False,2,9,8,27,tile_111.gb
112,9626,7376,7,7,False,0,6,5,20,tile_112.gb
113,8250,6000,7,8,False,0,4,4,17,tile_113.gb
114,8808,6558,7,9,True,0,9,8,25,tile_114.gb
115,9466,7216,7,10,True,0,7,13,28,tile_115.gb
116,9482,7232,7,11,False,1,8,7,25,tile_116.gb
117,8626,6376,7,12,True,0,8,7,23,tile_117.gb
118,9583,7333,7,13,True,0,6,5,19,tile_118.gb
119,9433,7183,7,14,True,0,8,7,23,tile_119.gb
120,9050,6800,8,0,True,0,8,7,23,tile_120.gb
121,8611,6361,8,1,True,0,8,7,23,tile_121.gb
122,8378,6128,8,2,True,0,6,5,19,tile_122.gb
123,8470,6220,8,3,True,0,8,8,24,tile_123.gb
124,9274,7024,8,4,True,0,6,5,19,tile_124.gb
125,9367,7117,8,5,True,0,9,8,25,tile_125.gb
126,8714,6464,8,6,True,0,7,7,22,tile_126.gb
127,9553,7303,8,7,True,0,7,6,21,tile_127.gb
128,8687,6437,8,8,True,0,6,5,19,tile_128.gb
129,9929,7679,8,9,True,0,7,6,21,tile_129.gb
130,9109,6859,8,10,False,0,8,7,24,tile_130.gb
131,8344,6094,8,11,True,0,9,9,26,tile_131.gb
132,8462,6212,8,12,True,0,7,6,21,tile_132.gb
133,9358,7108,8,13,True,0,10,9,27,tile_133.gb
134,9311,7061,8,14,True,0,6,5,19,tile_134.gb
135,10729,8479,9,0,True,0,7,6,21,tile_135.gb
136,7389,5139,9,1,True,0,7,7,22,tile_136.gb
137,8040,5790,9,2,False,0,5,4,18,tile_137.gb
138,9748,7498,9,3,True,0,5,4,17,tile_138.gb
139,8549,6299,9,4,True,0,6,5,19,tile_139.gb
140,8785,6535,9,5,False,1,6,5,20,tile_140.gb
141,8791,6541,9,6,False,0,6,5,20,tile_141.gb
142,8739,6489,9,7,False,1,6,5,20,tile_142.gb
143,9067,6817,9,8,False,1,8,7,24,tile_143.gb
144,9635,7385,9,9,True,0,5,4,17,tile_144.gb
145,8446,6196,9,10,True,0,6,5,19,tile_145.gb
